Name,PrizeMoney
Luke Humphries,1684.25
Michael Smith,883.5
Michael van Gerwen,812.5
Rob Cross,568.75
Luke Littler,558.5
Dave Chisnall,532
Jonny Clayton,506
Stephen Bunting,483
Gerwyn Price,477.5
Damon Heta,474
Dimitri Van den Bergh,471.25
Nathan Aspinall,439
Gary Anderson,437.5
Danny Noppert,431.75
Chris Dobey,427.25
James Wade,423.75
Peter Wright,414.5
Josh Rock,408.5
Ryan Searle,395.25
Andrew Gilding,375.5
Ross Smith,375
Martin Schindler,365
Joe Cullen,364.25
Mike De Decker,336
Dirk van Duijvenbode,315.75
Daryl Gurney,314.25
Gabriel Clemens,301.75
Gian van Veen,281
Ritchie Edhouse,275.25
Brendan Dolan,268.5
Krzysztof Ratajski,261.25
Raymond van Barneveld,256.25
Ricardo Pietreczko,245.75
Luke Woodhouse,239.75
Ryan Joyce,234.5
Jermaine Wattimena,212.75
Martin Lukeman,199.5
Scott Williams,190.75
Cameron Menzies,179
Jose de Sousa,174
Kim Huybrechts,157
Mickey Mansell,143.25
Callan Rydz,139
Madars Razma,131.75
Ricky Evans,129.25
Jim Williams,125.75
Richard Veenstra,112.25
William O'Connor,111.5
Alan Soutar,110
Kevin Doets,108.5
Keane Barry,107.75
Niels Zonneveld,103.75
Florian Hempel,96.5
Steve Beaton,96.5
Matt Campbell,95.5
Mensur Suljovic,89.75
Ian White,84.75
Wessel Nijman,82
Boris Krcmar,85
Simon Whitlock,84.25
Mervyn King,79.5
Ryan Meikle,72
Jamie Hughes,72.75
Adam Gawlas,68.75
Stephen Burton,64
Lee Evans,66.75
Dylan Slevin,65.5
Karel Sedlacek,60.75
Vincent van der Voort,63.5
Rowby-John Rodriguez,58.75
Maik Kuivenhoven,56.5
Wesley Plaisier,48
Jeffrey De Zwaan,51
Daniel Klose,47.25
Robert Owen,45.25
Connor Scutt,42
Nick Kenny,43.75
Keegan Brown,42.75
Dom Taylor,39.5
Jeffrey Sparidaans,41.5
Graham Hall,39.5
Thibault Tricole,35.75
Arron Monk,37.75
Jeffrey de Graaf,30
Graham Usher,32.25
Jurjen van der Velde,32.25
Chris Landman,28.75
James Hurrell,27.75
Mario Vandenbogaerde,24.5
Pascal Rupprecht,26.5
Andy Baetens,24.5
Josh Payne,23.5
Berry van Peer,23.5
Adrian Lewis,22.5
Nathan Rafferty,22.25
Steve Lennon,22
Radek Szaganski,21.75
Lukas Wenig,21.5
Owen Roelofs,21
Danny van Trijp,20.5
Callum Goffin,20.25
Christian Kist,19.75
Adam Warner,19.5
Patrick Geeraets,19
Matthew Dennant,19
Geert Nentjes,19
Darren Beveridge,18.75
Adam Smith-Neale,18.75
Jitse Van der Wal,18.25
Benjamin Reus,18
Ronny Huybrechts,17.75
Andy Boulton,17
Danny Lauby,17
Robert Grundy,16.5
Robbie Knops,16.25
Christian Perez,15.5
George Killington,14.5
Owen Bates,14
Brett Claydon,13.75
Martijn Dragt,13.5
Adam Hunt,13.5
Darryl Pilgrim,13
Rhys Griffin,13
Stefan Bellmont,12.5
Danny Jansen,12.5
Haupai Puha,12.5
Jelle Klaasen,11.75
William Borland,11.5
Leighton Bennett,11.5
Leonard Gates,10.5
Franz Roetzsch,10.5
Lee Cocks,10
Cam Crabtree,10
John Henderson,8.5
Jacques Labre,8.25
Kai Gotthardt,8.25
Richie Burnett,7.5
Paul Krohne,7.5
Tim Wolters,7.5
Joshua Richardson,7.5
Justin Hood,7
Michele Turetta,6
Jamie Atkins,5.5
Beau Greaves,5
Lourence Ilagan,5
Noa-Lynn van Leuven,5
Jimmy van Schie,5
Sebastian Bialecki,5
Romeo Grbavac,4.75
Ted Evetts,4.5
Oskar Lukasiak,4.5
Pavel Drtil,4
Jules van Dongen,4
Marko Kantele,3.75
Cor Dekker,3.75
Johan Engstrom,3.75
Kevin Troppmann,3.75
Michael Unterbuchner,3.75
Jiri Brejcha,2.5
Anton Ostlund,2.5
Bruno Stoeckli,2.5
Roger Hertig,2.5
Shane McGuirk,2.5
Alberto Bezjian,2.5
Max Hopp,2.5
Niko Springer,2.5
Matthias Ehlers,2.5
Jan Dueckers,2.5
Marvin van Velzen,2.5
Moreno Blom,2.5
Moritz Hilger,2.5
Darius Labanauskas,2.5
Andreas Harrysson,2.5
Scott Mitchell,2.5
Dragutin Horvat,2.25
Rene Eidams,2.25
Aden Kirk,2
Thomas Lovely,2
Jarred Cole,1.5
Joe Croft,1.5
Michael Taylor,1.5
Daniel Markovsky,1.25
Michal Smejda,1.25
Patrik Kovacs,1.25
Alex Fehlmann,1.25
Marcel Walpen,1.25
Nandor Pres,1.25
Andras Csoka,1.25
Gyorgy Jehirszki,1.25
Janos Vegso,1.25
Brian Raman,1.25
Francois Schweyen,1.25
Jody Tobback,1.25
Luc Bogaert,1.25
Krzysztof Kciuk,1.25
Benjamin Pratnemer,1.25
Nico Blum,1.25
Damian Mol,1.25
Teemu Harju,1.25
Christopher Toonders,1.25
Daniel Larsson,1.25
